"","Subject","N_Courses","Freq","Percent","CumFreq","CumPercent"
"97","Arts, Media, and Entertainment",1,6783,92.9,6783,92.9
"98","Arts, Media, and Entertainment",2,462,6.3,7245,99.3
"99","Arts, Media, and Entertainment",3,46,0.6,7291,99.9
"100","Arts, Media, and Entertainment",4,3,0,7294,99.9
"101","Arts, Media, and Entertainment",5,4,0.1,7298,100
"102","Arts, Media, and Entertainment",6,1,0,7299,100
"103","Building and Construction Trades",1,1668,90.9,1668,90.9
"104","Building and Construction Trades",2,146,8,1814,98.9
"105","Building and Construction Trades",3,21,1.1,1835,100
"106","Health Science and Medical Technology",1,3189,97.9,3189,97.9
"107","Health Science and Medical Technology",2,49,1.5,3238,99.4
"108","Health Science and Medical Technology",3,19,0.6,3257,99.9
"109","Health Science and Medical Technology",4,2,0.1,3259,100
"110","Hospitality, Tourism, and Recreation",1,3316,97.1,3316,97.1
"111","Hospitality, Tourism, and Recreation",2,91,2.7,3407,99.8
"112","Hospitality, Tourism, and Recreation",3,8,0.2,3415,100
"113","Information and Communication Technologies",1,5883,98.7,5883,98.7
"114","Information and Communication Technologies",2,72,1.2,5955,99.9
"115","Information and Communication Technologies",3,3,0.1,5958,100
"116","Manufacturing and Product Development",1,1605,96.3,1605,96.3
"117","Manufacturing and Product Development",2,56,3.4,1661,99.6
"118","Manufacturing and Product Development",3,6,0.4,1667,100
"119","Work Experience",1,1831,98,1831,98
"120","Work Experience",2,38,2,1869,100
"121","Computer Education",1,6064,98.8,6064,98.8
"122","Computer Education",2,71,1.2,6135,100
"123","Computer Education",3,3,0,6138,100
"124","Marketing, Sales, and Service",1,1203,96.9,1203,96.9
"125","Marketing, Sales, and Service",2,37,3,1240,99.8
"126","Marketing, Sales, and Service",3,2,0.2,1242,100
"127","Public Services",1,1504,98.9,1504,98.9
"128","Public Services",2,15,1,1519,99.9
"129","Public Services",3,2,0.1,1521,100
"130","Fashion and Interior Design",1,493,93.5,493,93.5
"131","Fashion and Interior Design",2,27,5.1,520,98.7
"132","Fashion and Interior Design",3,3,0.6,523,99.2
"133","Fashion and Interior Design",4,4,0.8,527,100
"134","Energy and Utilities",1,322,98.8,322,98.8
"135","Energy and Utilities",2,4,1.2,326,100
