"","rev_vs_exp","Category_1","Category_2","Category_3","Fiscalyear","value","value_16"
"126","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2002,160918,214682.86
"127","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2002,231038,308230.89
"128","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2002,523091,697862.71
"129","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2002,607942,811063.57
"130","Cash Disbursements","State Operations","Education","University of California",2002,3127953,4173044
"131","Cash Disbursements","State Operations","Education","State Universities and Colleges",2002,2708162,3612995.2
"132","Cash Disbursements","State Operations","Education","Other Education",2002,182656,243683.82
"133","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2002,5499497,7336952.62
"134","Cash Disbursements","State Operations","Governmental Operations","Total",2002,NA,NA
"135","Cash Disbursements","State Operations","General Government","Total",2002,1112680,1484441.29
"136","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2002,-79398,-105925.94
"137","Cash Disbursements","State Operations","Debt Service","Total",2002,1727045,2304073.87
"138","Cash Disbursements","State Operations","Interest on Loans","Total",2002,313007,417586.83
"139","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2002,25276094,33721175.61
"140","Cash Disbursements","Local Assistance","Community Colleges","Total",2002,2747690,3665730.04
"141","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2002,NA,NA
"142","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2002,975522,1301456.97
"143","Cash Disbursements","Local Assistance","Other Education","Total",2002,2360827,3149610.93
"144","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2002,13943,18601.54
"145","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2002,135057,180181.35
"146","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2002,232148,309711.76
"147","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2002,10804814,14414847.1
"148","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2002,449423,599581.24
"149","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2002,1547315,2064293.67
"150","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2002,479292,639429.88
"151","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2002,4074085,5435291.38
"152","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2002,2801636,3737700.12
"153","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2002,1308893,1746211.69
"154","Cash Disbursements","Local Assistance","Tax Relief","Total",2002,4677000,6239648.35
"155","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2002,2517359,3358442.37
"156","Cash Disbursements","Capital Outlay","Total","Total",2002,160138,213642.25
"157","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2003,311872,406801.43
"158","Cash Receipts","Revenues","Corporation Tax","Total",2003,7964152,10388327.33
"159","Cash Receipts","Revenues","Cigarette Tax","Total",2003,116903,152486.62
"160","Cash Receipts","Revenues","Horse Racing Fees","Total",2003,NA,NA
"161","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2003,574510,749382.73
"162","Cash Receipts","Revenues","Insurance Companies Tax","Total",2003,2113933,2757384.33
"163","Cash Receipts","Revenues","Personal Income Tax","Total",2003,36752037,47938837.74
"164","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2003,23699237,30912949.86
"165","Cash Receipts","Revenues","Vehicle License Fees","Total",2003,NA,NA
"166","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2003,120126,156690.66
"167","Cash Receipts","Revenues","Not Otherwise Classified","Total",2003,3830077,4995898.32
"168","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2003,2524497,3292918.21
"169","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2003,895577,1168177.98
"170","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2003,11254000,14679558.58
"171","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2003,NA,NA
"172","Cash Receipts","Nonrevenues","Miscellaneous","Total",2003,482897,629884.02
"173","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2003,1261202,1645094.07
"174","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2003,468069,610542.59
"175","Cash Disbursements","State Operations","Transportation","Total",2003,5719,7459.78
"176","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2003,7521,9810.29
"177","Cash Disbursements","State Operations","Resources","Total",2003,714746,932304.58
"178","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2003,77648,101282.95
"179","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2003,229969,299968.31
"180","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2003,524381,683995.17
"181","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2003,632042,824426.65
"182","Cash Disbursements","State Operations","Education","University of California",2003,2919292,3807883.23
"183","Cash Disbursements","State Operations","Education","State Universities and Colleges",2003,2615895,3412136.47
"184","Cash Disbursements","State Operations","Education","Other Education",2003,153346,200022.36
"185","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2003,5042508,6577376.18
"186","Cash Disbursements","State Operations","Governmental Operations","Total",2003,NA,NA
"187","Cash Disbursements","State Operations","General Government","Total",2003,1149718,1499675.91
"188","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2003,-146560,-191170.79
"189","Cash Disbursements","State Operations","Debt Service","Total",2003,1860442,2426734.26
"190","Cash Disbursements","State Operations","Interest on Loans","Total",2003,282573,368584.23
"191","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2003,25678841,33495117.35
"192","Cash Disbursements","Local Assistance","Community Colleges","Total",2003,2280341,2974444.58
"193","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2003,NA,NA
"194","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2003,509763,664927.65
"195","Cash Disbursements","Local Assistance","Other Education","Total",2003,2135899,2786036.47
"196","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2003,13953,18200.1
"197","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2003,144739,188795.51
"198","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2003,209868,273748.85
"199","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2003,10852486,14155829.39
"200","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2003,446401,582279.16
"201","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2003,1602228,2089923.56
"202","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2003,383796,500618.08
"203","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2003,4219940,5504430.11
"204","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2003,3035140,3958993.73
"205","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2003,1074323,1401331.74
"206","Cash Disbursements","Local Assistance","Tax Relief","Total",2003,3654364,4766700.76
"207","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2003,2595966,3386141.37
"208","Cash Disbursements","Capital Outlay","Total","Total",2003,385372,502673.79
"209","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2004,312671,397264.31
"210","Cash Receipts","Revenues","Corporation Tax","Total",2004,12496503,15877438.83
"211","Cash Receipts","Revenues","Cigarette Tax","Total",2004,122206,155268.9
"212","Cash Receipts","Revenues","Horse Racing Fees","Total",2004,NA,NA
"213","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2004,452679,575151.56
"214","Cash Receipts","Revenues","Insurance Companies Tax","Total",2004,2228317,2831189.4
"215","Cash Receipts","Revenues","Personal Income Tax","Total",2004,42476251,53968224.32
"216","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2004,25506531,32407337.14
"217","Cash Receipts","Revenues","Vehicle License Fees","Total",2004,NA,NA
"218","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2004,167339,212612.66
"219","Cash Receipts","Revenues","Not Otherwise Classified","Total",2004,1684799,2140622.31
"220","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2004,1448000,1839757.2
"221","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2004,487988,620013.42
"222","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2004,NA,NA
"223","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2004,NA,NA
"224","Cash Receipts","Nonrevenues","Miscellaneous","Total",2004,553658,703450.48
"225","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2004,1298574,1649903.92
"226","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2004,509350,647154.93
"227","Cash Disbursements","State Operations","Transportation","Total",2004,3386,4302.08
"228","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2004,NA,NA
"229","Cash Disbursements","State Operations","Resources","Total",2004,761199,967141.81
"230","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2004,50461,64113.25
"231","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2004,258528,328472.89
"232","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2004,571258,725812.17
"233","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2004,589512,749004.8
"234","Cash Disbursements","State Operations","Education","University of California",2004,2670057,3392442.41
"235","Cash Disbursements","State Operations","Education","State Universities and Colleges",2004,2488257,3161456.31
"236","Cash Disbursements","State Operations","Education","Other Education",2004,146158,185701.13
"237","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2004,6364036,8085829.48
"238","Cash Disbursements","State Operations","Governmental Operations","Total",2004,NA,NA
"239","Cash Disbursements","State Operations","General Government","Total",2004,1265848,1608323.88
"240","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2004,-63151,-80236.54
"241","Cash Disbursements","State Operations","Debt Service","Total",2004,3032522,3852972.51
"242","Cash Disbursements","State Operations","Interest on Loans","Total",2004,89360,113536.4
"243","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2004,29428525,37390428.8
"244","Cash Disbursements","Local Assistance","Community Colleges","Total",2004,3042733,3865946.1
"245","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2004,NA,NA
"246","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2004,1148792,1459598.31
"247","Cash Disbursements","Local Assistance","Other Education","Total",2004,2325743,2954974.06
"248","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2004,NA,NA
"249","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2004,214051,271962.62
"250","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2004,227987,289669.01
"251","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2004,11484288,14591368.5
"252","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2004,495354,629372.3
"253","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2004,1604536,2038644.11
"254","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2004,98471,125112.38
"255","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2004,4580336,5819548.45
"256","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2004,2671866,3394740.83
"257","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2004,1145377,1455259.38
"258","Cash Disbursements","Local Assistance","Tax Relief","Total",2004,667334,847881.58
"259","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2004,2582555,3281266.69
"260","Cash Disbursements","Capital Outlay","Total","Total",2004,84665,107571.16
"261","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2005,318518,391431.39
"262","Cash Receipts","Revenues","Corporation Tax","Total",2005,10436025,12824982.35
"263","Cash Receipts","Revenues","Cigarette Tax","Total",2005,113256,139181.94
"264","Cash Receipts","Revenues","Horse Racing Fees","Total",2005,NA,NA
"265","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2005,124849,153428.75
"266","Cash Receipts","Revenues","Insurance Companies Tax","Total",2005,2212739,2719267.02
"267","Cash Receipts","Revenues","Personal Income Tax","Total",2005,49946731,61380261.48
"268","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2005,27537859,33841673.96
"269","Cash Receipts","Revenues","Vehicle License Fees","Total",2005,NA,NA
"270","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2005,380111,467123.92
"271","Cash Receipts","Revenues","Not Otherwise Classified","Total",2005,2255456,2771762.56
"272","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2005,NA,NA
"273","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2005,240562,295630.13
"274","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2005,NA,NA
"275","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2005,NA,NA
"276","Cash Receipts","Nonrevenues","Miscellaneous","Total",2005,736461,905047.59
"277","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2005,1398060,1718096.19
"278","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2005,527951,648806.63
"279","Cash Disbursements","State Operations","Transportation","Total",2005,5517,6779.92
"280","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2005,NA,NA
"281","Cash Disbursements","State Operations","Resources","Total",2005,790643,971632.64
"282","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2005,60783,74697.11
"283","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2005,296825,364772.54
"284","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2005,731931,899480.61
"285","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2005,661863,813373.03
"286","Cash Disbursements","State Operations","Education","University of California",2005,2842562,3493265.63
"287","Cash Disbursements","State Operations","Education","State Universities and Colleges",2005,2599834,3194973.68
"288","Cash Disbursements","State Operations","Education","Other Education",2005,154754,190179.43
"289","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2005,7211404,8862198.87
"290","Cash Disbursements","State Operations","Governmental Operations","Total",2005,NA,NA
"291","Cash Disbursements","State Operations","General Government","Total",2005,1226683,1507488.51
"292","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2005,-1553,-1908.5
"293","Cash Disbursements","State Operations","Debt Service","Total",2005,3130365,3846950.91
"294","Cash Disbursements","State Operations","Interest on Loans","Total",2005,83056,102068.72
"295","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2005,31019476,38120283.54
"296","Cash Disbursements","Local Assistance","Community Colleges","Total",2005,3342326,4107432.85
"297","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2005,NA,NA
"298","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2005,1081064,1328535.21
"299","Cash Disbursements","Local Assistance","Other Education","Total",2005,2709883,3330214.49
"300","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2005,NA,NA
"301","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2005,293729,360967.82
"302","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2005,222127,272975.09
"303","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2005,12148396,14929339.88
"304","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2005,598510,735517.61
"305","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2005,1697585,2086186.81
"306","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2005,649150,797749.84
"307","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2005,4741450,5826836.61
"308","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2005,2913578,3580538.22
"309","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2005,1237135,1520333.13
"310","Cash Disbursements","Local Assistance","Tax Relief","Total",2005,662584,814259.08
"311","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2005,4084138,5019056.37
